Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100uF,C_1206_3216Metric,100.81,-91.16,0.0,top
C3,47uF,C_0805_2012Metric,106.1,-82.17,0.0,top
D1,LED,LED_D3.0mm_Clear,100.93,-83.4,0.0,top
D5,1N4148W,D_SOD-123,100.905,-87.81,0.0,top
J1,9V battery,PinSocket_1x02_P2.00mm_Vertical,95.96,-83.69,0.0,top
J2,DC IN,BarrelJack_GCT_DCJ200-10-A_Horizontal,119.95,-83.25,0.0,top
J4,IN,Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal,92.1,-48.745,0.0,top
J5,OUT,Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal,92.1,-70.025,0.0,top
R17,350R,R_0603_1608Metric,91.93,-86.94,0.0,top
R4,10K,R_0603_1608Metric,91.93,-81.92,0.0,top
R5,10K,R_0603_1608Metric,91.93,-84.43,0.0,top
RC1,10k,R_0603_1608Metric,91.93,-89.45,0.0,top
S1,Foot Switch,3PDT Foot Switch,122.975,-69.025,0.0,top
U1,PT2399,DIP-16_W7.62mm,118.07,-49.04,0.0,top
U2,LP2950-5.0_TO252,TO-252-2,83.85,-84.835,0.0,top
